world	regime	comparison	direction	left	right	t	truth	rank	matchedL	cold_log2	candidate_log2	left_live	right_live	left_minus_right_bits	w_before	w_after	hazard	left_odds_before	left_odds_after	left_cap_after	left_clipped	right_odds_before	right_odds_after	right_cap_after	right_clipped
219	moved_mid	witnessed_vs_witness	harm	h10l5	witness	15238	198	3	3	-4.584360791743904	-1.3699963101191828	-3.5304574750695568	-2.482583687368232	-1.0478737877013247	-4.8618146303240435	-1.4955184415016956	2^-10	-2.7432140312890247	0.46778918841176853	5.0	0	-0.5996681152771406	2.604683180432719		0
220	switched	tight_vs_loose	help	h5l5	h16l5	8715	36	3	3	-1.3448126593361387	-5.856323294281207	-1.9942097804056835	-5.086269975940988	3.0920601955353044	2.267405252661479	-2.3149617964292606	2^-16	-0.7119479129583113	-5.223481151069743	5.0	0	4.903023436782276	0.3914619112033758	5.0	0
220	switched	tight_vs_loose	harm	h5l5	h16l5	8661	71	2	1	-7.282797314961842	-2.124920498479011	-7.13141868498283	-4.724283697336245	-2.407134987646584	-2.0077464651211345	3.2128724283967323	2^-10	-8.288464092123098	-3.1321577064993393	5.0	0	-2.6075746339157755	2.5406635027583424	16.0	0
220	switched	witnessed_vs_fixed	help	h10l5	h5l5	9192	50	1	4	-6.149292668023432	-2.7325524228755533	-3.9467974482995962	-5.819431778550991	1.8726343302513944	2.9524556815129586	6.276931686613557	2^-16	-0.7541469983863792	2.662431854867226	10.0	0	-5.196855337933475	-1.7801435162543053	5.0	0
220	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8715	36	3	3	-1.3448126593361387	-5.856323294281207	-4.524991316206945	-1.9942097804056835	-2.5307815358012613	2.267405252661479	-2.3149617964292606	2^-16	3.742260474342151	-0.769285090468558	5.0	0	-0.7119479129583113	-5.223481151069743	5.0	0
220	switched	witnessed_vs_witness	help	h10l5	witness	8883	119	2	3	-0.9012650036879835	-5.543981628857086	-2.8954653772949537	-3.65954661916088	0.7640812418659264	6.42547145785345	1.5819588496264276	2^-16	1.8278773132198178	-2.814864454446342	10.0	0	2.9832576221858864	-1.6594879855479119		0
220	switched	witnessed_vs_witness	harm	h10l5	witness	8661	71	2	1	-7.282797314961842	-2.124920498479011	-5.553548418184037	-4.724283697336245	-0.8292647208477915	-2.0077464651211345	3.2128724283967323	2^-10	-3.8059005471130583	1.3469748403455988	10.0	0	-2.6075746339157755	2.5406635027583424		0
220	moved_mid	tight_vs_loose	help	h5l5	h16l5	16313	182	4	1	-5.1782728811055705	-15.962786985527563	-9.354924690885479	-15.51036343904887	6.155438748163391	10.523255879409666	-0.5901099712438789	2^-16	4.109452133882439	-6.675084199914099	5.0	0	12.224296396916298	1.4397005608189308	16.0	0
220	moved_mid	tight_vs_loose	harm	h5l5	h16l5	16001	119	3	3	-7.612671375585432	-2.085900289949816	-6.714487307245259	-2.478908214460159	-4.2355790927851	-3.4692756726221896	2.16591027778287	2^-10	-5.6786043494277525	-0.1545104199796232	5.0	0	1.6334853989646418	6.970210868475609	16.0	0
220	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	16001	119	3	3	-7.612671375585432	-2.085900289949816	-3.498319741666223	-6.714487307245259	3.2161675655790356	-3.4692756726221896	2.16591027778287	2^-10	-0.818573250409511	4.670422042066471	10.0	0	-5.6786043494277525	-0.1545104199796232	5.0	0
220	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	14933	7	4	1	-4.749758878698762	-17.179323427852868	-12.521104112994855	-7.99802574529987	-4.5230783676949855	5.866506787855766	-6.746386098418833	2^-16	7.823025009940045	-4.606562456785612	5.0	0	3.090329267982846	-9.339257329104884	5.0	0
220	moved_mid	witnessed_vs_witness	help	h10l5	witness	16338	158	2	7	-2.922489794154334	-7.116318638315084	-3.649007211190307	-5.397638221283354	1.748631010093047	0.5419759325381085	-3.6687896595144576	2^-16	-0.47450829903036473	-4.668360022873364	5.0	0	2.7115924862877785	-1.4822662512686748		0
220	moved_mid	witnessed_vs_witness	harm	h10l5	witness	14640	29	2	1	-7.307192133951699	-2.1119990945215323	-5.33965144048814	-3.599961480388836	-1.7396899600993043	-4.379029395784428	0.9530083122640023	2^-10	-3.4908051298428653	1.6983942158753333	10.0	0	-0.9668519321917206	4.200762526266425		0
221	switched	tight_vs_loose	help	h5l5	h16l5	8348	91	1	2	-2.6725686424079793	-6.41993448916344	-2.8201006882257165	-6.150006882840195	3.3299061946144786	3.2513456799614806	-0.5976247192927764	2^-16	-3.091085005194068	-6.838473058257227	5.0	0	5.892705124988322	2.1452198794301416	16.0	0
221	switched	tight_vs_loose	harm	h5l5	h16l5	8309	98	1	1	-7.305840676034813	-1.7307649841781751	-7.129561767155032	-2.4349077264266654	-4.694654040728366	-0.806008557741515	4.794254901544545	2^-16	-8.484265737442199	-2.909214990025906	5.0	0	0.6182980945223757	6.191741706981131	16.0	0
221	switched	witnessed_vs_fixed	help	h10l5	h5l5	8309	98	1	1	-7.305840676034813	-1.7307649841781751	-5.062246621892775	-7.129561767155032	2.067315145262257	-0.806008557741515	4.794254901544545	2^-16	-3.5227308630820278	2.052231509057985	10.0	0	-8.484265737442199	-2.909214990025906	5.0	0
221	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8225	74	3	3	-4.198043315682131	-6.980605116689997	-6.723649122183072	-4.963781254144781	-1.7598678680382909	7.392963108025439	4.3793712098917785	2^-16	4.866146022638091	2.0834689033282303	10.0	0	-0.10460689371133572	-2.8871936842337886	5.0	0
