world	regime	comparison	direction	t	truth	matchedL	cold_log2	candidate_log2	new_log2	other_log2	new_minus_other_bits	w_before	w_after	new_odds_before	new_odds_after	new_cap_after
210	moved_mid	ceiling	harm	11494	44	1	-4.662766621652453	-15.976342481709265	-11.345247984287925	-6.843941143275847	-4.501306841012077	4.014438993372823	-7.4245880852268895	6.7277946022467665	-4.585804188477419	5.0
210	moved_mid	witness	help	12520	247	1	-6.7432836644288505	-15.548188767746268	-10.30194653562545	-13.261285686214858	2.9593391505894076	4.713977729736981	-4.238239177634716	3.4692368918511156	-5.335690770541387	5.0
210	moved_mid	witness	harm	11988	44	1	-5.654049679309548	-0.727628361452576	-2.3106045394908357	-1.0795214125316241	-1.2310831269592115	-2.3631864302564165	2.637084463546069	-1.1466514900266924	3.7591380952206226	10.0
211	switched	ceiling	help	8382	49	3	-5.200356241132668	-1.3135057344499854	-2.2926764742361865	-4.696804571550676	2.40412809731449	-0.1388835195319169	3.752307097136138	-0.16436584598523868	3.7221720903703734	10.0
211	switched	ceiling	harm	8299	159	2	-2.963514259095019	-5.6638806000739645	-5.343513665036635	-3.5900415946595086	-1.7534720703771267	1.923526804229924	-0.8369497493812064	4.400420801378449	1.699960922545257	10.0
211	switched	witness	help	8550	187	3	-3.6065998369231513	-6.5957659397264825	-4.666981364841016	-5.758748568141696	1.0917672033006802	-1.8219595882448907	-4.754189453915569	0.5579162797611708	-2.4329205830560667	5.0
211	switched	witness	harm	8319	167	1	-6.2588055504621956	-1.7911087204617588	-4.687239052259973	-2.973093967509608	-1.7141450847503652	-5.098951707207482	-0.471912636356812	-3.2797243204961055	1.1833566163805784	10.0
211	moved_mid	ceiling	help	9043	248	1	-5.841767537293838	-1.8634464278334593	-2.354119517445789	-4.823277700402842	2.4691581829570532	-0.5473707436976482	3.4480557015032822	1.1689370389696254	5.146456203254369	10.0
211	moved_mid	ceiling	harm	15428	137	1	-6.900062519701946	-15.71740625081878	-12.853412475930345	-8.661496286478377	-4.191916189451968	3.1786365419051497	-5.738039581146221	6.143042186483533	-2.6743270072304566	5.0
211	moved_mid	witness	help	14748	49	2	-3.333025366498447	-13.549042262058984	-7.490743859002297	-11.401917741457181	3.911173882454884	8.014374800348941	-2.452091307722501	4.096348513421962	-6.11969071267119	5.0
